,navn,addresse,Org_nr,Sektor,godkjenning
2733,Stemsverk Dag,"Nedre Bergasidevegen 481 , 3550 GOL",Org. nr. 956 280 710,Økologisk landbruksproduksjon,Gyldig fra 24.05.2020 til 30.12.2021
2734,Stenbaks AS,"Tingnesøddin 6 , 2900 FAGERNES",Org. nr. 994 510 975,"Foredling, import og omsetning",Gyldig fra 07.12.2020 til 30.12.2021
2735,Stenberg & Blom AS,"Karenslyst allé 10 , 0278 OSLO",Org. nr. 984 601 565,"Foredling, import og omsetning",Gyldig fra 06.09.2020 til 30.12.2021
2736,Stend jordbruksskule,"Fanavn. 249 , 5244 FANA",Org. nr. 974 739 453,"Foredling, import og omsetning",Gyldig fra 27.08.2020 til 30.12.2021
2737,Stene Erik,"Jerpstadvn. 7 , 7335 JERPSTAD",Org. nr. 969 301 016,Økologisk landbruksproduksjon,Gyldig fra 17.09.2020 til 30.12.2021
2738,Stenerød Gård,"Trøskenveien 76 , 1708 SARPSBORG",Org. nr. 000 000 000,Økologisk landbruksproduksjon,Gyldig fra 10.11.2020 til 30.12.2021
2739,Stenersen John Ragnar,"Langesøya 3 , 3027 DRAMMEN",Org. nr. 918 735 747,"Foredling, import og omsetning",Gyldig fra 07.10.2020 til 30.12.2021
2740,Stenrød Jens Martin,"Skjelinveien 19 , 1659 TORP",Org. nr. 986 790 691,Økologisk landbruksproduksjon,Gyldig fra 31.08.2020 til 30.12.2021
2741,Stensby Jan Erik,"Svartputtvegen 410 , 2372 BRØTTUM",Org. nr. 989 239 902,Økologisk landbruksproduksjon,Gyldig fra 08.11.2020 til 30.12.2021
2742,Stiftelsen Alm Østre,"Almsgutua 57, Alm Østre , 2335 STANGE",Org. nr. 993 099 074,"Foredling, import og omsetning",Gyldig fra 25.08.2020 til 30.12.2021
2745,Stiftelsen Barnas Have,"Løkkeåsveien 20 , 3138 SKALLESTAD",Org. nr. 976 685 318,Servering av økologisk mat og drikke,Gyldig fra 25.03.2020 til 30.12.2021
2746,Stiftelsen Geitmyra matkultursenter for barn,"Tåsenveien 2 , 0462 OSLO",Org. nr. 996 009 041,Økologisk landbruksproduksjon,Gyldig fra 25.03.2020 til 30.12.2021
2747,Stiftelsen Grobunn,"Frenningvegen 102 , 2344 ILSENG",Org. nr. 971 649 828,"Foredling, import og omsetning",Gyldig fra 25.10.2020 til 30.12.2021
2748,Stiftelsen Lindesnes fyrmuseum,"Lindesnesvn. 1139 , 4521 LINDESNES",Org. nr. 875 460 072,"Foredling, import og omsetning",Gyldig fra 16.07.2020 til 30.12.2021
2749,Stiftelsen Matmerk,"Postboks 1344 Vika , 0113 OSLO",Org. nr. 990 675 627,Servering av økologisk mat og drikke,Gyldig fra 11.10.2020 til 30.12.2021
2750,Stiftelsen Seter gård,"Sætherveien 237 , 1866 BÅSTAD",Org. nr. 915 863 930,Økologisk landbruksproduksjon,Gyldig fra 03.02.2020 til 30.12.2021
2751,Stiftelsen Solliakollektivet avd. Trogstad,"Totenvegen 1249 , 2848 SKREIA",Org. nr. 985 265 089,Økologisk landbruksproduksjon,Gyldig fra 12.10.2020 til 30.12.2021
2752,"Stiftelsen Solliakollektivet, avd Reinsvoll","Sollivegen 403 , 2840 REINSVOLL",Org. nr. 973 447 343,Økologisk landbruksproduksjon,Gyldig fra 27.09.2020 til 30.12.2021
2753,Stiftelsen Steinerbarnehagen i Moss,"Veverbakken 42 , 1506 MOSS",Org. nr. 993 140 244,Servering av økologisk mat og drikke,Gyldig fra 20.10.2020 til 30.12.2021
2754,Stiftelsen Ullandhaug Økologiske Gård,"Ullandhaugvn. 150 , 4021 STAVANGER",Org. nr. 980 049 515,Økologisk landbruksproduksjon,Gyldig fra 28.06.2020 til 30.12.2021
2755,Stiftelsen Virksomheten Helgeseter,"Øvre Sædalsvegen 257 , 5096 BERGEN",Org. nr. 971 427 248,Økologisk landbruksproduksjon,Gyldig fra 09.11.2020 til 30.12.2021
2756,Stiftinga Sogndal Folkehøgskule,"Helgheimsvegen 9 , 6856 SOGNDAL",Org. nr. 995 550 105,Servering av økologisk mat og drikke,Gyldig fra 29.11.2020 til 30.12.2021
2757,Stigen Gard&Turer,"Gyrjevegen 29 , 6896 FRESVIK",Org. nr. 969 836 963,Økologisk landbruksproduksjon,Gyldig fra 06.10.2020 til 30.12.2021
2758,Stigen Strehlau Jan Marek,"Øverbygdsvegen 241 , 2630 RINGEBU",Org. nr. 912 694 240,Økologisk landbruksproduksjon,Gyldig fra 12.12.2020 til 30.12.2021
2759,"Stikbakke nordre, Johannes Stikbakke","Smågardsvegen 230 , 2846 BØVERBRU",Org. nr. 895 554 952,Økologisk landbruksproduksjon,Gyldig fra 26.10.2020 til 30.12.2021
2761,Støbet Gunleik,"Uvdalsvegen 2935, Nørsteby , 3632 UVDAL",Org. nr. 969 924 714,Økologisk landbruksproduksjon,Gyldig fra 25.11.2020 til 30.12.2021
2762,Stockfleth AS,"Schweigaardsgate 34a , 0191 OSLO",Org. nr. 916 280 572,"Foredling, import og omsetning",Gyldig fra 25.11.2020 til 30.12.2021
2763,Stokke Bjørn Håvard,"Engaveien 9 , 3425 REISTAD",Org. nr. 914 465 125,Økologisk landbruksproduksjon,Gyldig fra 22.11.2020 til 30.12.2021
2764,"Stokke Nedre, Marit Helen Øwre Klomstad","Stokkevegen 139 , 2825 GJØVIK",Org. nr. 921 806 493,Økologisk landbruksproduksjon,Gyldig fra 17.08.2020 til 30.12.2021
2765,Stokke Stian,"Røddevegen 230 , 7224 MELHUS",Org. nr. 991 157 190,Økologisk landbruksproduksjon,Gyldig fra 03.05.2020 til 30.12.2021
2766,Stokke-Lerheim Randi Johanne,"Storlandsvegen 413 , 6633 GJEMNES",Org. nr. 969 127 482,Økologisk landbruksproduksjon,Gyldig fra 19.11.2020 til 30.12.2021
2767,Stokkeland Laurits,"Veggjarbergvegen 60 , 4363 BRUSAND",Org. nr. 969 795 132,Økologisk landbruksproduksjon,Gyldig fra 23.03.2020 til 30.12.2021
2768,Stølan Sigurd W.,"Røstvangvn. 14 , 2500 TYNSET",Org. nr. 970 485 961,Økologisk landbruksproduksjon,Gyldig fra 25.10.2020 til 30.12.2021
2769,Stølen Elin,"Lefdal 119 , 6776 KJØLSDALEN",Org. nr. 971 202 645,Økologisk landbruksproduksjon,Gyldig fra 18.02.2020 til 30.12.2021
2770,Stølsvidda AS - Valdres Matverkstad,"Håvrudvegen 73 , 2920 LEIRA I VALDRES",Org. nr. 989 568 892,"Foredling, import og omsetning",Gyldig fra 03.02.2020 til 30.12.2021
2771,Storbuan Torstein Kringstad,"Fjeldheimveien 9 , 7332 LØKKEN VERK",Org. nr. 917 203 180,Økologisk landbruksproduksjon,Gyldig fra 03.08.2020 til 30.12.2021
2772,Storbukt Gård Anita Karlsen,"Selnesvn. 1339 , 9042 LAKSVATN",Org. nr. 995 429 136,Økologisk landbruksproduksjon,Gyldig fra 19.10.2020 til 30.12.2021
2773,Storcash Norge AS avd Brobekk,"Postboks 130 Sentrum , 0102 OSLO",Org. nr. 930 258 008,"Foredling, import og omsetning",Gyldig fra 10.12.2020 til 30.12.2021
2774,Storcash Norge AS avd. Sola,"Skvadronvn. 18 , 4050 SOLA",Org. nr. 983 197 434,"Foredling, import og omsetning",Gyldig fra 02.06.2020 til 30.12.2021
2775,Storcash Norge AS Bergen Storcash,"Bontelabo 2 , 5003 BERGEN",Org. nr. 930 258 008,"Foredling, import og omsetning",Gyldig fra 02.06.2020 til 30.12.2021
2777,Storcash Norge AS Haugaland Storcash,"Industrigt. 14 , 5537 HAUGESUND",Org. nr. 989 531 395,"Foredling, import og omsetning",Gyldig fra 10.05.2020 til 30.12.2021
2778,Storcash Norge AS Kjørbekk Storcash,"Bedriftsvn. 24 , 3735 SKIEN",Org. nr. 973 105 884,"Foredling, import og omsetning",Gyldig fra 10.05.2020 til 30.12.2021
2779,Storcash Norge AS Sørlandet Storcash,"Barstølvn. 46 A , 4636 KRISTIANSAND S",Org. nr. 996 817 903,"Foredling, import og omsetning",Gyldig fra 02.06.2020 til 30.12.2021
2780,Storcash Norge AS Tiller Storcash,"Østre Rosten 104 , 7075 TILLER",Org. nr. 984 006 799,"Foredling, import og omsetning",Gyldig fra 10.05.2020 til 30.12.2021
2781,Stordalen Samdrift DA v/Brage Gilde,"Rømmesveien 93 , 7170 ÅFJORD",Org. nr. 991 296 727,Økologisk landbruksproduksjon,Gyldig fra 02.06.2020 til 30.12.2021
2782,Støre Torbjørn,"Støreshøgda 119 , 7620 SKOGN",Org. nr. 992 109 998,Økologisk landbruksproduksjon,Gyldig fra 08.06.2020 til 30.12.2021
2783,Støre-Valen AS,"Salberg 41 A , 7670 INDERØY",Org. nr. 918 357 718,"Foredling, import og omsetning",Gyldig fra 15.07.2020 til 30.12.2021
2784,Storebø Ingebjørg,"Dalen 14 , 5379 STEINSLAND",Org. nr. 970 471 812,Økologisk landbruksproduksjon,Gyldig fra 10.12.2020 til 30.12.2021
2785,Storheil Tore,"Tjøttaveien 283 , 8804 SANDNESSJØEN",Org. nr. 912 042 340,Økologisk landbruksproduksjon,Gyldig fra 04.05.2020 til 30.12.2021
2786,Stormo Bjørn Vidar,"Sandnesset 106 , 7660 VUKU",Org. nr. 969 220 121,Økologisk landbruksproduksjon,Gyldig fra 30.11.2020 til 30.12.2021
2787,Storms AS,"Ringeriksvn. 187 , 1339 VØYENENGA",Org. nr. 916 317 263,"Foredling, import og omsetning",Gyldig fra 30.06.2020 til 30.12.2021
2788,Storrø Knut,"Nystuen , 7295 ROGNES",Org. nr. 880 184 652,Økologisk landbruksproduksjon,Gyldig fra 10.05.2020 til 30.12.2021
2789,Storrø Nils Olav,"Storrø, Finnskjeggen , 7298 BUDALEN",Org. nr. 970 538 046,Økologisk landbruksproduksjon,Gyldig fra 14.05.2020 til 30.12.2021
2790,Storseth May Iren,"Skaunavegen 780 , 7357 SKAUN",Org. nr. 995 566 567,Økologisk landbruksproduksjon,Gyldig fra 13.12.2020 til 30.12.2021
2791,Stousland Anine,"Krikaveien 9 , 3144 VEIERLAND",Org. nr. 920 139 302,Økologisk landbruksproduksjon,Gyldig fra 04.11.2020 til 30.12.2021
2793,Støylen Egg Solfrid Utheim Rygg,"Ommedal, Austredalen 570 , 6829 HYEN",Org. nr. 969 835 576,Økologisk landbruksproduksjon,Gyldig fra 25.02.2020 til 30.12.2021
2794,Støyten Gård Irene Lund Sandal,"Tenvikvn. 82 , 3140 NØTTERØY",Org. nr. 996 392 953,Økologisk landbruksproduksjon,Gyldig fra 25.02.2020 til 30.12.2021
2795,Strag AS,"Billingstadsletta 19 B , 1396 BILLINGSTAD",Org. nr. 961 879 558,"Foredling, import og omsetning",Gyldig fra 26.08.2020 til 30.12.2021
2796,Stråholmen Småfesamdrift,"Tveit 357 , 4865 ÅMLI",Org. nr. 919 581 298,Økologisk landbruksproduksjon,Gyldig fra 08.12.2020 til 30.12.2021
2797,Strand Unikorn AS,"Postboks 103 , 2391 MOELV",Org. nr. 916 329 717,"Foredling, import og omsetning",Gyldig fra 21.10.2020 til 30.12.2021
2798,Strand Unikorn ASA,"Postboks 1132 , 2305 HAMAR",Org. nr. 916 329 717,"Foredling, import og omsetning",Gyldig fra 04.10.2020 til 30.12.2021
2799,Strande Tore,"Søndre Ringåsen 9, Braak Gård , 3512 HØNEFOSS",Org. nr. 811 840 122,Økologisk landbruksproduksjon,Gyldig fra 23.03.2020 til 30.12.2021
2800,Stranden Helge Atle,"Vollaveien 21 , 7273 NORDDYRØY",Org. nr. 982 991 609,Økologisk landbruksproduksjon,Gyldig fra 22.11.2020 til 30.12.2021
2801,Straumøy Gård ved Viljar Grutle,"Straumøyvegen 129 , 5554 VALEVÅG",Org. nr. 922 083 177,Økologisk landbruksproduksjon,Gyldig fra 12.08.2020 til 30.12.2021
2802,Straumsnes Settefisk AS,"Tingvollvegen 1525 , 6670 ØYDEGARD",Org. nr. 972 184 624,Økologisk akvakultur,Gyldig fra 10.11.2020 til 30.12.2021
2803,Straumsvåg Arne Ove,"Åsskardvegen 2268 , 6643 BØFJORDEN",Org. nr. 981 872 029,Økologiske juletrær og pyntegrønt,Gyldig fra 17.01.2021 til 30.12.2022
2804,Stray Gård - Svein Erik Scheie,"Setesdalsvn. 285 , 4618 KRISTIANSAND S",Org. nr. 913 994 035,Økologisk landbruksproduksjon,Gyldig fra 04.11.2020 til 30.12.2021
2805,Strengelvåg Agrimar v/ Vidar Carlsen,"Strengelvåg , 8430 MYRE",Org. nr. 987 870 001,Økologisk landbruksproduksjon,Gyldig fra 07.07.2020 til 30.12.2021
2806,Strindmo Ragnhild B.,"Solsivegen 1801 , 7760 SNÅSA",Org. nr. 869 185 892,Økologisk landbruksproduksjon,Gyldig fra 07.09.2020 til 30.12.2021
2807,Strøm Anders,"Rønningsvegen 231 / 233 , 2116 SANDER",Org. nr. 988 259 594,Økologisk landbruksproduksjon,Gyldig fra 16.11.2020 til 30.12.2021
2809,Strøm AS,"Postboks 459, Skøyen , 0213 OSLO",Org. nr. 970 923 292,"Foredling, import og omsetning",Gyldig fra 25.03.2020 til 30.12.2021
2810,Strøm Maise,"Gamlevegen 212 , 3830 ULEFOSS",Org. nr. 918 733 825,Økologisk landbruksproduksjon,Gyldig fra 25.03.2020 til 30.12.2021
2811,Strømmen videregående skole,"Gamle Strømsvei 115 , 2010 STRØMMEN",Org. nr. 974 778 505,Servering av økologisk mat og drikke,Gyldig fra 02.12.2020 til 30.12.2021
2812,Strømnes Hans Flågen,"Fredrikstadvn. 22 , 1640 RÅDE",Org. nr. 869 206 822,Økologisk landbruksproduksjon,Gyldig fra 06.10.2020 til 30.12.2021
2813,Strugstad Petter,"Bruemsvegen 168 , 7718 STEINKJER",Org. nr. 922 048 339,Økologisk landbruksproduksjon,Gyldig fra 05.05.2020 til 30.12.2021
2814,Strzegocki Michal,"Gulfjordungsvegen 39 , 5704 VOSS",Org. nr. 000 000 000,Økologisk landbruksproduksjon,Gyldig fra 31.03.2020 til 30.12.2021
2815,Stubberud Fredrik,"Strømfossveien 826 , 1890 RAKKESTAD",Org. nr. 813 128 942,Økologisk landbruksproduksjon,Gyldig fra 02.12.2020 til 30.12.2021
2816,Stubsjøen Karl Einar,"Tømmesdalsvegen 1733 , 7213 GÅSBAKKEN",Org. nr. 969 635 178,Økologisk landbruksproduksjon,Gyldig fra 01.04.2020 til 30.12.2021
2817,Stuestøl Knut,"Birkelandveien 33 , 4588 KVÅS",Org. nr. 969 269 163,Økologisk landbruksproduksjon,Gyldig fra 11.08.2020 til 30.12.2021
2818,Stugaard Peder Olav,"Steinbraatån 14 , 3528 HEDALEN",Org. nr. 974 344 319,Økologisk landbruksproduksjon,Gyldig fra 02.02.2020 til 30.12.2021
2819,Stuve Einar,"Øverbygdsvn. 862 , 2836 BIRI",Org. nr. 875 960 512,Økologisk landbruksproduksjon,Gyldig fra 09.12.2020 til 30.12.2021
2820,Styrvoll Landbruksdrift DA,"Lågensdalsveien 2886 , 3277 STEINSHOLT",Org. nr. 987 693 169,"Foredling, import og omsetning",Gyldig fra 21.10.2020 til 30.12.2021
2821,Styve Møbelsnikkeri,"Styvesvegen 23 , 5707 EVANGER",Org. nr. 884 032 962,Økologisk landbruksproduksjon,Gyldig fra 25.10.2020 til 30.12.2021
2822,Sun Autopack & Production AS,"Brobekkveien 100 E , 0582 OSLO",Org. nr. 886 121 032,"Foredling, import og omsetning",Gyldig fra 04.05.2020 til 30.12.2021
2823,Sund Anders Øivind,"Grøttingveien 504 , 2478 HANESTAD",Org. nr. 922 357 269,Økologisk landbruksproduksjon,Gyldig fra 11.08.2020 til 30.12.2021
2825,Sund Bent Harald,"Klubben 11, Onøya , 8766 LURØY",Org. nr. 969 644 681,Økologisk landbruksproduksjon,Gyldig fra 01.12.2020 til 30.12.2021
2826,Sund Folkehøgskole,"Flagvn. 95 , 7670 INDERØY",Org. nr. 969 468 948,Servering av økologisk mat og drikke,Gyldig fra 01.12.2020 til 30.12.2021
2827,Sundby Lars Steinar,"Julsetvegen 43 , 2056 ALGARHEIM",Org. nr. 977 564 948,Økologisk landbruksproduksjon,Gyldig fra 17.02.2020 til 30.12.2021
2828,Sundbygd gård Michael Hummel,"Sundbygdvn. 312 , 7790 MALM",Org. nr. 917 433 674,"Foredling, import og omsetning",Gyldig fra 08.12.2020 til 30.12.2021
2829,Sunde Halvor,"Nordagutuvegen 807 , 3820 NORDAGUTU",Org. nr. 969 442 310,Økologisk landbruksproduksjon,Gyldig fra 21.10.2020 til 30.12.2021
2830,Sunde Ove Jomar,"Malnesset 115 , 7255 SUNDLANDET",Org. nr. 960 168 550,Økologisk landbruksproduksjon,Gyldig fra 01.11.2020 til 30.12.2021
2831,Sunkost AS,"Pb 693 Skøyen , 0214 OSLO",Org. nr. 959 847 789,"Foredling, import og omsetning",Gyldig fra 19.11.2020 til 30.12.2021
2832,Sunnhet v/ Aanestad Åsa Vinje,"Nesbu Terrasse 101 B , 4052 RØYNEBERG",Org. nr. 995 494 434,"Foredling, import og omsetning",Gyldig fra 27.04.2020 til 30.12.2021
2833,Sunnmøre Engros AS,"Borgundfjordveien 116 , 6017 ÅLESUND",Org. nr. 885 946 542,"Foredling, import og omsetning",Gyldig fra 04.08.2020 til 30.12.2021
2834,Sunnset Ingvild Karoline,"Sørbygda , 7288 SOKNEDAL",Org. nr. 917 756 333,Økologisk landbruksproduksjon,Gyldig fra 02.06.2020 til 30.12.2021
2835,Sunrise Food AS,"Brobekkv 100 E , 0582 OSLO",Org. nr. 985 129 517,"Foredling, import og omsetning",Gyldig fra 17.08.2020 til 30.12.2021
2836,SunVita AS,"Salhusveien 55 , 5131 NYBORG",Org. nr. 959 613 753,"Foredling, import og omsetning",Gyldig fra 28.10.2020 til 30.12.2021
2837,Superfruits AS,"Økrisletta 5 , 1340 SKUI",Org. nr. 992 675 705,"Foredling, import og omsetning",Gyldig fra 09.03.2020 til 30.12.2021
2838,Surf Kombucha,"Meieribakken 4 , 7670 INDERØY",Org. nr. 917 914 249,"Foredling, import og omsetning",Gyldig fra 01.07.2020 til 30.12.2021
2839,Sværen Silje,"Skiftun 2 , 4146 SKIFTUN",Org. nr. 981 320 034,"Foredling, import og omsetning",Gyldig fra 30.06.2020 til 30.12.2021
2841,Svalastog honning,"Lumbertoppen 38 , 4621 KRISTIANSAND S",Org. nr. 915 138 462,Økologisk landbruksproduksjon,Gyldig fra 18.11.2020 til 30.12.2021
2842,Svalastog Tarjei Danbolt,"Grungedal 109, Svalastog , 3895 EDLAND",Org. nr. 920 237 061,Økologisk landbruksproduksjon,Gyldig fra 18.11.2020 til 30.12.2021
2843,Svalestad Sigurd Anders,"Dalenvn 570 , 3160 STOKKE",Org. nr. 978 711 391,Økologisk landbruksproduksjon,Gyldig fra 22.04.2020 til 30.12.2021
2844,Svalheim Halfdan Lie,"Efteløtveien 102 , 3618 SKOLLENBORG",Org. nr. 969 234 149,Økologisk landbruksproduksjon,Gyldig fra 06.07.2020 til 30.12.2021
2845,Svanem Ole Morten,"Hellandsjøveien 1097 , 7206 HELLANDSJØEN",Org. nr. 979 727 933,Økologisk landbruksproduksjon,Gyldig fra 02.12.2020 til 30.12.2021
2846,Svardahl Terje,"Bondegt 1 , 6919 TANSØY",Org. nr. 918 308 857,Økologisk landbruksproduksjon,Gyldig fra 27.01.2020 til 30.12.2021
2847,Svarliaunet Roy,"Solum, Namsenvegen 1988 , 7873 HARRAN",Org. nr. 985 369 283,Økologisk landbruksproduksjon,Gyldig fra 02.11.2020 til 30.12.2021
2848,Sve Håvar,"Føldalsveien 8 , 7100 RISSA",Org. nr. 991 537 945,Økologisk landbruksproduksjon,Gyldig fra 23.06.2020 til 30.12.2021
2849,Svedahl Augstein,"Selbuvn 340, Halla , 7550 HOMMELVIK",Org. nr. 913 485 254,Økologiske juletrær og pyntegrønt,Gyldig fra 11.11.2020 til 30.12.2021
2850,Sveinall Ellen og John,"Øygardsveien 49 , 4534 MARNARDAL",Org. nr. 874 427 942,Økologisk landbruksproduksjon,Gyldig fra 15.11.2020 til 30.12.2021
2851,Svendgård- Roe Geir,"Bergslia 7 , 7620 SKOGN",Org. nr. 986 933 611,Økologisk landbruksproduksjon,Gyldig fra 15.04.2020 til 30.12.2021
2852,Svendsen Birgit,"Aasen, Hodalen 148 , 2540 TOLGA",Org. nr. 969 929 171,"Foredling, import og omsetning",Gyldig fra 08.11.2020 til 30.12.2021
2853,Svendsen Lisbeth,"Edveien 364 , 1680 SKJÆRHALDEN",Org. nr. 971 248 505,Økologisk landbruksproduksjon,Gyldig fra 30.06.2020 til 30.12.2021
2854,Svenning Roar og Torild Langklopp,"Troningveien 99, Troningen gård , 7178 STOKKØY",Org. nr. 869 673 102,Økologisk landbruksproduksjon,Gyldig fra 26.10.2020 til 30.12.2021
2855,Svensen Gullik,"Treideneveien 28 , 3145 TJØME",Org. nr. 992 251 743,Økologisk landbruksproduksjon,Gyldig fra 01.11.2020 til 30.12.2021
2857,Svensson Berit,"Gilegata 25 , 3159 MELSOMVIK",Org. nr. 969 117 142,Økologisk landbruksproduksjon,Gyldig fra 01.07.2020 til 30.12.2021
2858,Svergja John og Liv Elisabeth,"Sverja , 2512 KVIKNE",Org. nr. 969 105 799,Økologisk landbruksproduksjon,Gyldig fra 01.07.2020 til 30.12.2021
2859,Sverresen Johnny,"Sætrefaret 17 , 1708 SARPSBORG",Org. nr. 969 528 274,Økologisk landbruksproduksjon,Gyldig fra 08.11.2020 til 30.12.2021
2860,Sveum Werner,"Djupbekkvegen 115 , 2881 AUST-TORPA",Org. nr. 985 239 509,Økologisk landbruksproduksjon,Gyldig fra 06.07.2020 til 30.12.2021
2861,Svindland Anders,"Østebø 27 , 4420 ÅNA-SIRA",Org. nr. 995 395 649,Økologisk landbruksproduksjon,Gyldig fra 01.06.2020 til 30.12.2021
2862,Svindland Roar,"Solbjørg 174 , 4480 KVINESDAL",Org. nr. 970 388 087,Økologisk landbruksproduksjon,Gyldig fra 02.11.2020 til 30.12.2021
2863,Svinsås-Loe Erik,"Losveien 23 , 7334 STORÅS",Org. nr. 969 526 697,Økologisk landbruksproduksjon,Gyldig fra 07.07.2020 til 30.12.2021
2864,Swärd Ylva,"Harald Halvorsensvei 32 , 0666 OSLO",Org. nr. 921 505 140,"Foredling, import og omsetning",Gyldig fra 18.11.2020 til 30.12.2021
2865,Swift Jan Albert,"Røråsveien 130 , 3179 ÅSGÅRDSTRAND",Org. nr. 977 340 276,Økologisk landbruksproduksjon,Gyldig fra 18.06.2020 til 30.12.2021
2866,Sylling Lars Petter,"Skotselvveien 824, Ulleland gård , 3330 SKOTSELV",Org. nr. 913 002 024,Økologisk landbruksproduksjon,Gyldig fra 10.12.2020 til 30.12.2021
2867,Sylling Ole Kristian,"Vestsidevn. 544, Solberg gård , 3410 SYLLING",Org. nr. 969 925 672,Økologisk landbruksproduksjon,Gyldig fra 13.05.2020 til 30.12.2021
2868,Symposium Wines AS,"Destilleriveien 11 , 1481 HAGAN",Org. nr. 993 517 364,"Foredling, import og omsetning",Gyldig fra 23.11.2020 til 30.12.2021
2869,Synnøve Finden AS avd Vestby,"Deliveien 3 , 1540 VESTBY",Org. nr. 919 296 607,"Foredling, import og omsetning",Gyldig fra 21.04.2020 til 30.12.2021
2870,Syrstad Tron Olav,"Hølondvegen 2493 , 7212 KORSVEGEN",Org. nr. 915 101 674,Økologisk landbruksproduksjon,Gyldig fra 14.04.2020 til 30.12.2021
2871,Systad Jorunn Marie Rødli,"Haugabøvegen 26 , 5303 FOLLESE",Org. nr. 915 847 013,"Foredling, import og omsetning",Gyldig fra 02.12.2020 til 30.12.2021
2873,Syverstad Anne Kristin,"Heierhageveien 130 , 1892 DEGERNES",Org. nr. 869 426 482,Økologisk landbruksproduksjon,Gyldig fra 29.03.2020 til 30.12.2021
2874,T selskapet AS,"Postboks 24, Tåsen , 0801 OSLO",Org. nr. 993 386 022,"Foredling, import og omsetning",Gyldig fra 29.03.2020 til 30.12.2021
2875,T. Brovold A/S,"Storgata 23 , 2335 STANGE",Org. nr. 939 242 171,"Foredling, import og omsetning",Gyldig fra 20.01.2021 til 30.12.2022
2876,T.L. Måkestad AS,"Lønningshaugen 2 , 5258 BLOMSTERDALEN",Org. nr. 931 539 280,"Foredling, import og omsetning",Gyldig fra 17.03.2020 til 30.12.2021
2877,Tærud Jostein,"Vestre Hurdalsveg 173 , 2032 MAURA",Org. nr. 969 286 548,Økologisk landbruksproduksjon,Gyldig fra 11.05.2020 til 30.12.2021
2878,Tærud Tom Anders,"Sneisrud , 2080 EIDSVOLL",Org. nr. 996 476 359,Økologisk landbruksproduksjon,Gyldig fra 25.10.2020 til 30.12.2021
2879,Taga Foods AS,"Skippergata 14 , 7042 TRONDHEIM",Org. nr. 917 814 120,"Foredling, import og omsetning",Gyldig fra 01.09.2020 til 30.12.2021
2880,Tala Ole Reino,"Askehaugvn. 40, Askehaug Gård , 3170 SEM",Org. nr. 982 213 304,Økologisk landbruksproduksjon,Gyldig fra 12.05.2020 til 30.12.2021
2881,Tana videregående skole,"Bonakas , 9845 TANA",Org. nr. 974 064 332,Økologisk landbruksproduksjon,Gyldig fra 06.07.2020 til 30.12.2021
2882,Tandberg Jostein og Eirin,"Voldenveien 350 , 3618 SKOLLENBORG",Org. nr. 916 043 910,Økologisk landbruksproduksjon,Gyldig fra 21.10.2020 til 30.12.2021
2883,Tangeland Thor Vidar,"Trygve Gulbranssens vei 185 , 1880 EIDSBERG",Org. nr. 985 730 792,Økologisk landbruksproduksjon,Gyldig fra 11.11.2020 til 30.12.2021
2884,Tango Seaweed AS,"Kvianesvegen 53 , 6094 LEINØY",Org. nr. 917 873 631,Økologisk akvakultur,Gyldig fra 08.07.2020 til 30.12.2021
2885,Tanke-Hansen Frank,"Dueveien 4 , 4580 LYNGDAL",Org. nr. 995 258 749,Økologisk landbruksproduksjon,Gyldig fra 15.09.2020 til 30.12.2021
2886,Tapio Bjørn Ståle,"Luovttejohleahki 437 , 9845 TANA",Org. nr. 984 144 717,Økologisk landbruksproduksjon,Gyldig fra 27.01.2020 til 30.12.2021
2887,Taraldsrud Dagfinn,"Øverbygdsvegen 1090 , 2836 BIRI",Org. nr. 981 440 935,Økologisk landbruksproduksjon,Gyldig fra 09.11.2020 til 30.12.2021
2889,Tårn Brenneriet AS v/ Cassano,"St. Jørgensvei 33 , 0662 OSLO",Org. nr. 920 122 124,"Foredling, import og omsetning",Gyldig fra 22.01.2020 til 30.12.2021
2890,Tårnes Kåre,"Øseveien 66 , 7167 VALLERSUND",Org. nr. 969 196 352,Økologisk landbruksproduksjon,Gyldig fra 22.01.2020 til 30.12.2021
2891,Teien Hans Kristian,"Teienveien 64 , 3070 SANDE I VESTFOLD",Org. nr. 969 770 377,"Foredling, import og omsetning",Gyldig fra 25.05.2020 til 30.12.2021
2892,Teigland Siri,"Skålagato 47 A , 5486 ROSENDAL",Org. nr. 985 010 994,Økologisk landbruksproduksjon,Gyldig fra 15.11.2020 til 30.12.2021
2893,Tekslo Seafood AS,"Tofterøyvegen 402 , 5379 STEINSLAND",Org. nr. 918 278 206,Økologisk akvakultur,Gyldig fra 30.09.2020 til 30.12.2021
2894,Telefrukt AS,"Sauheradvn. 111 , 3810 GVARV",Org. nr. 970 983 503,"Foredling, import og omsetning",Gyldig fra 17.12.2020 til 30.12.2021
2895,Telemark Frukt- og bærpresseri AS,"Postboks 50 , 3834 GVARV",Org. nr. 922 592 373,"Foredling, import og omsetning",Gyldig fra 19.10.2020 til 30.12.2021
2896,Telemark Landbruksselskap,"Århusveien 191 , 3721 SKIEN",Org. nr. 969 176 017,Økologisk landbruksproduksjon,Gyldig fra 28.07.2020 til 30.12.2021
